rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.16,308,-109.57,50.4,1,q1_q17_dr25_tce,5764,155,-155,4.548,0.04,-0.16,0.863,0.202,-0.072,298.13525,41.95105,14.598
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3954.46,3947.6,-1250.43,37.8,1,q1_q17_dr25_tce,6371,176,-220,4.426,0.056,-0.224,1.072,0.363,-0.121,296.14877,47.934872,15.131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.39,2.48,-2.37,42.1,1,q1_q17_dr25_tce,4141,83,-91,4.684,0.022,-0.025,0.582,0.027,-0.03,293.61371,47.839001,15.847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.94,15.4,-28.44,116.2,1,q1_q17_dr25_tce,4976,54,-74,3.331,0.008,-0.009,4.157,0.205,-0.513,293.2822,48.2859,12.183
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.72,212.51,-196.53,95.8,1,q1_q17_dr25_tce,4441,133,-146,4.71,0.056,-0.032,0.53,0.038,-0.046,291.59409,48.44561,14.285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.55,12.92,-9.27,30.4,1,q1_q17_dr25_tce,5291,84,-73,4.489,0.058,-0.065,0.882,0.072,-0.059,293.14648,47.729649,15.824
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.33,15.41,-10.13,30.7,2,q1_q17_dr25_tce,4769,172,-172,4.622,0.024,-0.06,0.714,0.068,-0.049,295.8255,42.94339,15.505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.44,49.47,-32.5,19.9,3,q1_q17_dr25_tce,4769,172,-172,4.622,0.024,-0.06,0.714,0.068,-0.049,295.8255,42.94339,15.505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.38,89.19,-58.6,19.6,4,q1_q17_dr25_tce,4769,172,-172,4.622,0.024,-0.06,0.714,0.068,-0.049,295.8255,42.94339,15.505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.95,15.73,-6,55.2,2,q1_q17_dr25_tce,5986,179,-215,4.527,0.06,-0.192,0.85,0.234,-0.094,291.02069,42.46244,15.229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,3.94,-1.5,76.6,1,q1_q17_dr25_tce,5986,179,-215,4.527,0.06,-0.192,0.85,0.234,-0.094,291.02069,42.46244,15.229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,1.53,-1.39,16.8,3,q1_q17_dr25_tce,3526,71,-78,4.866,0.066,-0.044,0.383,0.048,-0.058,286.54001,49.437328,15.921
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07,3.19,-5.52,39.9,1,q1_q17_dr25_tce,5066,70,-90,3.974,0.569,-0.1,1.659,0.285,-0.854,284.25131,48.809608,15.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.96,211.93,-132.79,65.9,1,q1_q17_dr25_tce,4838,130,-145,4.625,0.027,-0.059,0.701,0.076,-0.047,292.32858,49.653542,15.127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271.11,511.98,-438.49,50,1,q1_q17_dr25_tce,5632,76,-76,4.282,0.156,-0.104,1.176,0.18,-0.198,296.32199,48.971481,15.269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.89,5.3,-3.76,73.4,3,q1_q17_dr25_tce,5618,112,-112,4.46,0.081,-0.09,0.897,0.099,-0.081,283.20917,48.777641,14.232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.66,39.48,-37.28,58.4,2,q1_q17_dr25_tce,6366,116,-116,4.045,0.196,-0.098,1.697,0.285,-0.38,287.3912,42.194832,13.659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.46,163.41,-154.35,45.9,1,q1_q17_dr25_tce,6366,116,-116,4.045,0.196,-0.098,1.697,0.285,-0.38,287.3912,42.194832,13.659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,29.32,-7.36,44.9,3,q1_q17_dr24_tce,6781,157,-230,4.422,0.051,-0.28,1.067,0.426,-0.102,287.3912,42.194832,13.659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.74423,46.83009,13.174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.38,85.61,-29.03,58,1,q1_q17_dr25_tce,6022,190,-232,4.453,0.054,-0.216,1.039,0.331,-0.118,294.58929,41.944382,15.609
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.58,10.05,-4.35,44,1,q1_q17_dr25_tce,5936,65,-94,4.501,0.016,-0.093,0.965,0.119,-0.04,297.20895,41.781712,14.556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.38,3.05,-2.18,28.9,2,q1_q17_dr25_tce,5291,84,-73,4.489,0.058,-0.065,0.882,0.072,-0.059,293.14648,47.729649,15.824
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.33,11.39,-3.64,48.3,1,q1_q17_dr25_tce,5949,176,-193,4.493,0.05,-0.2,0.962,0.297,-0.099,289.08365,48.018131,14.755
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41,3.74,-3.06,59,5,q1_q17_dr25_tce,5657,113,-101,4.364,0.055,-0.045,1.046,0.068,-0.068,297.11511,41.909142,13.709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,11.53,-9.73,66.7,1,q1_q17_dr25_tce,5490,82,-74,4.263,0.174,-0.116,1.167,0.182,-0.202,294.23007,48.204479,14.965
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.4,335.2,-107.22,17,1,q1_q17_dr25_tce,5999,189,-210,4.494,0.052,-0.208,0.959,0.3,-0.1,296.61487,48.082642,15.803
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.89,111.06,-125.08,21.8,1,q1_q17_dr25_tce,5557,83,-72,4.037,0.21,-0.09,1.616,0.254,-0.413,297.79691,39.921371,14.943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.12,26,-8.58,1266.2,1,q1_q17_dr25_tce,6014,163,-199,4.486,0.048,-0.204,0.993,0.302,-0.101,288.72949,42.55088,14.857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.76,33.07,-36.07,39.2,1,q1_q17_dr25_tce,5754,155,-173,3.639,0.28,-0.12,2.758,0.532,-0.988,299.2475,46.951908,13.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.47,411.31,-191.41,22,1,q1_q17_dr25_tce,5956,176,-193,4.324,0.132,-0.181,1.17,0.348,-0.214,291.23883,40.163509,14.832
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.98,23.82,-19.09,33.8,1,q1_q17_dr25_tce,4198,83,-83,4.689,0.023,-0.028,0.574,0.032,-0.028,290.82602,44.184109,15.224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44,2.52,-1.88,33.9,1,q1_q17_dr25_tce,5868,105,-117,4.363,0.115,-0.103,1.042,0.144,-0.129,294.27728,46.675282,12.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,71.39,-42.98,32.6,1,q1_q17_dr25_tce,4929,148,-148,4.481,0.105,-0.56,0.861,0.135,-0.098,295.02167,46.619221,14.925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.56,109.43,-54.29,21.7,1,q1_q17_dr25_tce,5610,166,-166,4.316,0.165,-0.182,1.171,0.319,-0.213,293.57776,46.73634,14.581
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.24,12.83,-5.5,37.2,1,q1_q17_dr25_tce,6127,192,-213,4.356,0.128,-0.192,1.08,0.32,-0.172,294.16882,46.714611,15.224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.05,90.56,-56.01,45.1,1,q1_q17_dr25_tce,5155,170,-154,4.523,0.056,-0.084,0.836,0.104,-0.078,292.35394,46.22628,15.623
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.41,12.98,-6.54,34.3,1,q1_q17_dr25_tce,5180,155,-155,4.597,0.026,-0.097,0.769,0.111,-0.056,288.23666,46.605919,15.554
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918.25,1705.28,-782.24,77.1,1,q1_q17_dr25_tce,4951,148,-133,3.876,0.682,-0.367,1.843,1.094,-1.094,297.12186,46.221909,14.118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.76,206.87,-121.03,35.3,1,q1_q17_dr25_tce,5258,184,-184,4.458,0.112,-0.154,0.873,0.159,-0.119,297.77927,46.492741,15.297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2899.07,2069.34,-806.36,118.2,1,q1_q17_dr25_tce,5717,155,-172,4.564,0.042,-0.168,0.826,0.199,-0.08,289.95078,50.657249,14.351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.38,33.33,-19.77,114.7,1,q1_q17_dr25_tce,4723,94,-94,4.628,0.012,-0.045,0.691,0.049,-0.025,294.44177,40.55759,14.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.98,7.94,-4.71,63.1,2,q1_q17_dr25_tce,4723,94,-94,4.628,0.012,-0.045,0.691,0.049,-0.025,294.44177,40.55759,14.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.19,17.63,-10.45,37.7,3,q1_q17_dr25_tce,4723,94,-94,4.628,0.012,-0.045,0.691,0.049,-0.025,294.44177,40.55759,14.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.61,29.84,-13.62,66.5,1,q1_q17_dr25_tce,5632,101,-124,4.554,0.019,-0.11,0.853,0.109,-0.039,284.39429,46.249081,13.024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.06,95.17,-56.43,22.2,4,q1_q17_dr25_tce,4723,94,-94,4.628,0.012,-0.045,0.691,0.049,-0.025,294.44177,40.55759,14.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.06,61.66,-26.43,40.9,1,q1_q17_dr25_tce,5430,97,-108,4.555,0.018,-0.108,0.858,0.105,-0.035,290.05112,46.713371,13.984
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.94,630.28,-429.08,26.6,1,q1_q17_dr25_tce,6116,191,-212,4.158,0.264,-0.176,1.383,0.394,-0.433,298.96255,40.630661,13.518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.99,89.44,-64.92,34.3,1,q1_q17_dr25_tce,5903,106,-117,4.3,0.15,-0.1,1.156,0.185,-0.166,282.06128,47.085491,13.797
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.32,32.18,-23.36,20.3,2,q1_q17_dr25_tce,5903,106,-117,4.3,0.15,-0.1,1.156,0.185,-0.166,282.06128,47.085491,13.797
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.61,8.2,-4.05,43.4,1,q1_q17_dr25_tce,5997,107,-131,4.466,0.048,-0.112,0.971,0.145,-0.067,291.40555,40.125488,13.956
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66,1.41,-0.81,21.2,1,q1_q17_dr25_tce,5243,84,-73,4.547,0.028,-0.077,0.831,0.069,-0.04,293.64417,46.989761,15.742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.65,8.4,-12.9,27.2,1,q1_q17_dr25_tce,5339,88,-72,4.096,0.368,-0.092,1.433,0.212,-0.531,294.78915,46.98399,15.004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.08,92.1,-100.23,1245.7,1,q1_q17_dr25_tce,5803,78,-78,4.134,0.201,-0.093,1.373,0.206,-0.308,288.25458,43.704868,14.221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.19,47.65,-15.35,22.9,1,q1_q17_dr25_tce,5822,157,-174,4.557,0.036,-0.204,0.837,0.251,-0.084,293.8656,47.026829,15.534
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.23,10.44,-4.21,31.9,1,q1_q17_dr25_tce,6108,168,-210,4.471,0.058,-0.173,0.997,0.266,-0.114,294.2413,47.275982,15.517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.52,520.66,-192.58,42.4,1,q1_q17_dr25_tce,6418,179,-246,4.395,0.054,-0.216,1.171,0.375,-0.15,296.4418,46.616711,15.447
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,14.22,-13.82,20.2,1,q1_q17_dr25_tce,4723,167,-167,4.557,0.063,-0.032,0.747,0.046,-0.069,295.45715,50.077171,15.858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.88,60.3,-18.94,49.2,1,q1_q17_dr25_tce,5900,176,-193,4.5,0.052,-0.208,0.929,0.297,-0.099,297.66452,43.248959,15.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,0.61,-0.69,59.4,1,q1_q17_dr25_tce,4802,96,-96,4.582,0.049,-0.017,0.701,0.027,-0.044,296.82291,48.107552,13.779
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.05,18.4,-7.11,66.3,1,q1_q17_dr25_tce,5921,175,-211,4.484,0.065,-0.195,0.912,0.266,-0.114,289.60678,39.938332,15.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,27.06,-9.31,148.1,1,q1_q17_dr25_tce,6132,192,-234,4.479,0.067,-0.202,0.947,0.293,-0.105,295.04639,46.97459,15.134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.32,114.05,-81.13,108.8,1,q1_q17_dr25_tce,4489,134,-134,4.662,0.04,-0.036,0.609,0.057,-0.047,295.18561,46.786709,15.036
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.83,21,-10.42,113.6,1,q1_q17_dr25_tce,5654,169,-169,4.387,0.132,-0.182,0.998,0.269,-0.179,297.41965,43.876579,15.042
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.1,95.81,-44.05,50.5,1,q1_q17_dr25_tce,5931,177,-195,4.479,0.091,-0.169,0.866,0.21,-0.113,296.03342,40.019611,15.549
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3432.93,3055.16,-1042.53,44.4,1,q1_q17_dr25_tce,5997,189,-231,4.522,0.05,-0.2,0.904,0.264,-0.088,299.556,40.456551,15.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3316.4,2839.69,-1070.18,31.7,1,q1_q17_dr25_tce,5975,161,-179,4.453,0.081,-0.189,0.949,0.277,-0.119,298.3949,40.62891,14.063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406.11,239.86,-212.65,23.2,1,q1_q17_dr25_tce,6139,82,-82,4.291,0.033,-0.027,1.194,0.064,-0.064,284.78619,48.423229,8.769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.18,19.99,-18.5,28.4,1,q1_q17_dr25_tce,6099,79,-85,4.193,0.016,-0.018,1.308,0.054,-0.054,285.47659,41.632717,11.049
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2081.57,1321.07,-1277.37,292.1,1,q1_q17_dr25_tce,6378,176,-176,3.878,0.315,-0.105,2.002,0.422,-0.686,284.73859,47.169628,13.396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.64,50.33,-32.59,1549,1,q1_q17_dr25_tce,5167,82,-82,4.527,0.04,-0.06,0.848,0.063,-0.04,290.35803,40.567741,14.741
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2393.35,1122.81,-534.63,37.6,1,q1_q17_dr25_tce,5992,119,-119,4.385,0.054,-0.117,1.125,0.186,-0.093,295.32251,39.376492,11.524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.13,61.52,-22.23,33.2,1,q1_q17_dr25_tce,6018,189,-231,4.46,0.07,-0.21,0.969,0.306,-0.122,294.32635,47.217609,15.601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,1.87,-1.77,49.2,1,q1_q17_dr25_tce,3609,72,-81,4.843,0.05,-0.055,0.422,0.046,-0.056,283.62885,48.391003,13.496
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,1.17,-0.69,88,1,q1_q17_dr25_tce,4827,96,-96,4.615,0.012,-0.054,0.729,0.051,-0.026,294.95511,44.149818,13.054
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.16,7.31,-2.55,109.8,1,q1_q17_dr25_tce,5774,155,-172,4.567,0.04,-0.16,0.818,0.199,-0.066,284.27396,41.535019,15.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.75,424.97,-156.02,69.9,1,q1_q17_dr25_tce,7238,201,-277,4.221,0.09,-0.21,1.568,0.556,-0.238,295.21661,50.084332,12.087
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5038.49,4537.96,-1443.68,28.9,1,q1_q17_dr25_tce,5776,156,-173,4.527,0.038,-0.212,0.889,0.273,-0.091,297.04651,49.97039,15.632
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.49,350.26,-138.25,36.6,1,q1_q17_dr25_tce,6213,173,-259,4.387,0.06,-0.192,1.195,0.351,-0.14,285.0571,46.320679,15.776
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305.04,1132.86,-447.17,15.8,2,q1_q17_dr25_tce,6213,173,-259,4.387,0.06,-0.192,1.195,0.351,-0.14,285.0571,46.320679,15.776
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.95,36.73,-19.42,71.5,1,q1_q17_dr25_tce,5440,162,-162,4.438,0.144,-0.192,0.885,0.193,-0.129,297.72427,43.527431,14.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.98,110.29,-58.3,12.1,2,q1_q17_dr25_tce,5440,162,-162,4.438,0.144,-0.192,0.885,0.193,-0.129,297.72427,43.527431,14.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.29,26.09,-19.15,51.9,1,q1_q17_dr25_tce,5103,101,-101,4.562,0.032,-0.048,0.787,0.051,-0.039,299.22433,40.343182,15.812
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.47,15.04,-11.04,34.7,2,q1_q17_dr25_tce,5103,101,-101,4.562,0.032,-0.048,0.787,0.051,-0.039,299.22433,40.343182,15.812
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.11,53.42,-39.21,20.6,3,q1_q17_dr25_tce,5103,101,-101,4.562,0.032,-0.048,0.787,0.051,-0.039,299.22433,40.343182,15.812
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.06,5.9,-4.33,20.4,4,q1_q17_dr25_tce,5103,101,-101,4.562,0.032,-0.048,0.787,0.051,-0.039,299.22433,40.343182,15.812
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,9.47,-20.16,527.8,1,q1_q17_dr25_tce,5019,51,-103,2.99,0.018,-0.016,6.836,0.426,-1.192,298.94815,41.812149,12.263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.38,390.44,-125.99,1131.7,1,q1_q17_dr25_tce,6197,166,-222,4.449,0.056,-0.224,1.035,0.349,-0.116,288.25284,51.417332,14.575
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.53,61.3,-35.53,28.9,1,q1_q17_dr25_tce,6026,121,-133,4.321,0.088,-0.121,1.207,0.21,-0.14,289.50635,45.370998,11.538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2228.09,203.74,-233.46,12.4,1,q1_q17_dr25_tce,6250,75,-82,4.184,0.013,-0.011,1.543,0.031,-0.044,296.04736,42.743011,11.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.35,2.41,-2.34,13.6,1,q1_q17_dr25_tce,4830,96,-96,4.605,0.042,-0.021,0.676,0.03,-0.037,294.99023,39.346378,11.759
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.81,40.33,-20.88,46.1,1,q1_q17_dr25_tce,6065,91,-72,3.97,0.011,-0.014,1.877,0.141,-0.071,298.5892,40.75069,11.855
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.97,63.22,-38.95,46.8,1,q1_q17_dr25_tce,7732,214,-322,4.075,0.135,-0.165,2.022,0.533,-0.436,293.54889,42.888859,12.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.95,387.24,-152.89,51.3,1,q1_q17_dr25_tce,5662,186,-186,4.532,0.077,-0.143,0.806,0.192,-0.082,298.11121,41.758331,15.341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.92,70.17,-72.49,14.9,1,q1_q17_dr25_tce,4748,172,-153,4.526,0.071,-0.038,0.797,0.043,-0.08,301.4693,44.159649,15.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.47,7.01,-2.6,27.1,1,q1_q17_dr25_tce,5654,169,-169,4.59,0.036,-0.144,0.774,0.169,-0.061,293.60126,42.379761,15.737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.53,26.05,-8.2,929,1,q1_q17_dr25_tce,6147,184,-220,4.463,0.058,-0.217,1.003,0.341,-0.114,292.87616,48.195309,14.904
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.73,165.56,-106.17,38.8,1,q1_q17_dr25_tce,5185,155,-155,4.442,0.117,-0.143,0.911,0.15,-0.123,295.52521,46.459431,14.815
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.23,71.71,-63.88,30.8,1,q1_q17_dr25_tce,4831,146,-146,4.568,0.065,-0.035,0.724,0.056,-0.068,290.12231,43.08556,15.835
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.68,228.59,-124.34,37,1,q1_q17_dr25_tce,5198,169,-154,4.6,0.03,-0.09,0.759,0.107,-0.066,291.23114,50.56702,15.202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416.6,723.92,-918.61,46.5,1,q1_q17_dr25_tce,6093,183,-183,3.737,0.3,-0.1,2.623,0.416,-0.97,299.07813,44.293789,13.488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,1.04,-0.63,72.3,1,q1_q17_dr25_tce,5604,111,-111,4.451,0.076,-0.102,0.943,0.123,-0.082,287.28531,51.249981,14.827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.23,10.07,-3.61,119.5,1,q1_q17_dr25_tce,5919,162,-203,4.485,0.044,-0.187,1,0.257,-0.086,291.0838,40.355251,15.287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5480.92,4670.25,-1519.17,103.6,1,q1_q17_dr25_tce,5791,155,-172,4.549,0.036,-0.204,0.856,0.249,-0.083,296.33319,40.896259,15.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.55,329.25,-152.02,17.1,1,q1_q17_dr25_tce,5394,187,-187,4.622,0.035,-0.105,0.72,0.123,-0.057,299.14142,40.725899,15.935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1,14.23,-9.37,48.2,1,q1_q17_dr25_tce,4955,100,-100,4.61,0.018,-0.046,0.721,0.047,-0.029,288.53867,40.61615,15.565
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.18,25.69,-16.94,28.2,3,q1_q17_dr25_tce,4955,100,-100,4.61,0.018,-0.046,0.721,0.047,-0.029,288.53867,40.61615,15.565
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.86,165.5,-166.47,31.3,1,q1_q17_dr25_tce,6068,82,-82,4.04,0.182,-0.112,1.797,0.295,-0.406,297.58313,41.952431,15.767
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.92,344.85,-346.87,15.9,2,q1_q17_dr25_tce,6068,82,-82,4.04,0.182,-0.112,1.797,0.295,-0.406,297.58313,41.952431,15.767
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.57,36,-14.39,47.1,1,q1_q17_dr25_tce,6243,99,-136,4.406,0.026,-0.136,1.149,0.201,-0.067,298.39575,42.459751,12.949
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.47,3.34,-2.87,1126.2,1,q1_q17_dr25_tce,4939,148,-133,4.541,0.072,-0.044,0.765,0.063,-0.077,284.87997,49.266991,14.388
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.94,218.4,-120.73,26.4,1,q1_q17_dr25_tce,5836,104,-127,4.347,0.08,-0.12,1.166,0.193,-0.113,290.41199,44.89933,13.574
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.48,51.07,-27.58,32.9,1,q1_q17_dr25_tce,5251,73,-84,4.541,0.028,-0.083,0.847,0.075,-0.034,291.74838,39.44688,13.293
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.65009,42.700779,15.129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.75,52.51,-44.88,20.7,1,q1_q17_dr25_tce,5619,75,-75,4.264,0.162,-0.108,1.199,0.188,-0.207,300.9296,44.02879,14.941
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.76,12.61,-5.79,20.8,1,q1_q17_dr25_tce,5578,75,-83,4.484,0.04,-0.112,0.936,0.124,-0.053,291.41833,42.579819,14.792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.56,18.08,-7.42,20.1,1,q1_q17_dr25_tce,5754,161,-182,4.534,0.042,-0.168,0.905,0.214,-0.092,294.36673,42.252682,15.789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.88,655.21,-272.41,93,1,q1_q17_dr25_tce,5947,159,-177,4.482,0.078,-0.182,0.881,0.221,-0.102,288.01486,46.348949,14.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.49,268.19,-76.36,26.3,1,q1_q17_dr25_tce,5970,161,-197,4.521,0.039,-0.221,0.908,0.293,-0.078,282.36349,46.67524,15.695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.08,10.99,-3.65,40.9,1,q1_q17_dr25_tce,5813,145,-160,4.561,0.035,-0.196,0.833,0.225,-0.075,289.42459,50.994122,14.982
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.89,50.56,-16.95,33.2,1,q1_q17_dr25_tce,6170,170,-233,4.472,0.054,-0.216,0.992,0.316,-0.105,295.40253,50.47863,15.259
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.69,29.86,-10.81,29.7,1,q1_q17_dr25_tce,5900,176,-193,4.509,0.042,-0.178,0.951,0.236,-0.084,294.52713,43.36816,15.689
